rep_num,start_idx,bottom_idx,end_idx,rep_duration_frames,hip_range,bottom_knee_angle,bottom_hip_angle,bottom_torso_angle,bottom_shin_angle
1,0,54,76,77,0.12218767404556274,115.26845940321196,115.93330548796474,11.092411160360228,11.75725724511301
2,76,99,122,47,0.12836647033691406,112.38845740462222,117.50950058401419,6.583924649692136,11.704967829084097
3,122,145,169,48,0.11908894777297974,115.90513102138442,118.46603466419687,7.244581018662387,9.80548466147485
4,169,194,216,48,0.13017195463180542,111.90654368949981,116.82410258288196,6.185588088807492,11.103146982189656
5,216,239,261,46,0.12806081771850586,111.34483404398516,115.84562156531187,5.549973955748783,10.050761477075469
6,261,283,303,43,0.13536864519119263,109.35794117045954,114.83215089614411,4.979407094002056,10.45361681968663
7,303,324,345,43,0.1322460174560547,109.49690060294168,112.4891644806856,6.54642407797769,9.538687955721628
8,345,367,387,43,0.12948369979858398,111.58214344517266,112.5283755899469,8.9112698976501,9.85750204242433
9,387,407,438,52,0.14322751760482788,109.09403547078081,111.0187115715212,8.103251926717718,10.027928027458074
